score_num,movie_name,ranking,score
,肖申克的救赎,1,9.6
,这个杀手不太冷,2,9.4
,霸王别姬,3,9.5
,阿甘正传,4,9.4
,美丽人生,5,9.5
,千与千寻,6,9.2
,辛德勒的名单,7,9.4
,泰坦尼克号,8,9.2
,盗梦空间,9,9.2
,机器人总动员,10,9.3
,海上钢琴师,11,9.2
,三傻大闹宝莱坞,12,9.1
,忠犬八公的故事,13,9.2
,放牛班的春天,14,9.2
,大话西游之大圣娶亲,15,9.1
,教父,16,9.2
,龙猫,17,9.1
,乱世佳人,18,9.2
,楚门的世界,19,9.0
,天堂电影院,20,9.1
,当幸福来敲门,21,8.9
,触不可及,22,9.1
,搏击俱乐部,23,9.0
,十二怒汉,24,9.3
,指环王3：王者无敌,25,9.1
,无间道,26,9.0
,怦然心动,27,8.9
,熔炉,28,9.2
,罗马假日,29,8.9
,天空之城,30,9.0
,少年派的奇幻漂流,31,9.0
,大话西游之月光宝盒,32,8.9
,鬼子来了,33,9.1
,两杆大烟枪,34,9.0
,飞屋环游记,35,8.9
,蝙蝠侠：黑暗骑士,36,9.0
,飞越疯人院,37,9.0
,窃听风暴,38,9.1
,星际穿越,39,9.1
,活着,40,9.0
,海豚湾,41,9.3
,闻香识女人,42,8.9
,V字仇杀队,43,8.8
,美丽心灵,44,8.9
,教父2,45,9.1
,指环王2：双塔奇兵,46,8.9
,指环王1：魔戒再现,47,8.9
,哈尔的移动城堡,48,8.8
,天使爱美丽,49,8.7
,情书,50,8.8
,死亡诗社,51,8.9
,美国往事,52,9.1
,七宗罪,53,8.7
,钢琴家,54,9.0
,狮子王,55,8.9
,勇敢的心,56,8.8
,致命魔术,57,8.8
,被嫌弃的松子的一生,58,8.9
,剪刀手爱德华,59,8.7
,辩护人,60,9.1
,音乐之声,61,8.9
,小鞋子,62,9.2
,饮食男女,63,9.0
,控方证人,64,9.6
,低俗小说,65,8.7
,入殓师,66,8.8
,沉默的羔羊,67,8.7
,本杰明·巴顿奇事,68,8.7
,蝴蝶效应,69,8.7
,黑客帝国,70,8.8
,拯救大兵瑞恩,71,8.8
,玛丽和马克思,72,8.9
,西西里的美丽传说,73,8.7
,素媛,74,9.1
,心灵捕手,75,8.7
,幽灵公主,76,8.8
,第六感,77,8.8
,阳光灿烂的日子,78,8.7
,让子弹飞,79,8.7
,大鱼,80,8.7
,春光乍泄,81,8.7
,射雕英雄传之东成西就,82,8.7
,大闹天宫,83,9.2
,阳光姐妹淘,84,8.8
,重庆森林,85,8.6
,上帝之城,86,8.9
,禁闭岛,87,8.6
,甜蜜蜜,88,8.7
,致命ID,89,8.6
,告白,90,8.6
,一一,91,8.9
,加勒比海盗,92,8.6
,爱在黎明破晓前,93,8.7
,萤火虫之墓,94,8.7
,阿凡达,95,8.6
,风之谷,96,8.8
,布达佩斯大饭店,97,8.7
,狩猎,98,9.0
,断背山,99,8.6
,爱在日落黄昏时,100,8.7
,猫鼠游戏,101,8.7
,侧耳倾听,102,8.8
,摩登时代,103,9.2
,驯龙高手,104,8.7
,末代皇帝,105,8.8
,海洋,106,9.0
,超脱,107,8.7
,哈利·波特与魔法石,108,8.6
,幸福终点站,109,8.6
,燃情岁月,110,8.8
,穿条纹睡衣的男孩,111,8.8
,谍影重重3,112,8.7
,电锯惊魂,113,8.6
,菊次郎的夏天,114,8.7
,神偷奶爸,115,8.5
,真爱至上,116,8.5
,借东西的小人阿莉埃蒂,117,8.7
,虎口脱险,118,8.9
,雨人,119,8.6
,倩女幽魂,120,8.6
,岁月神偷,121,8.6
,消失的爱人,122,8.7
,七武士,123,9.1
,贫民窟的百万富翁,124,8.5
,记忆碎片,125,8.5
,东邪西毒,126,8.6
,恐怖直播,127,8.7
,疯狂原始人,128,8.7
,怪兽电力公司,129,8.6
,杀人回忆,130,8.6
,穿越时空的少女,131,8.6
,卢旺达饭店,132,8.8
,红辣椒,133,8.8
,魂断蓝桥,134,8.8
,黑天鹅,135,8.5
,恋恋笔记本,136,8.5
,猜火车,137,8.5
,英雄本色,138,8.7
,喜宴,139,8.8
,傲慢与偏见,140,8.4
,教父3,141,8.7
,雨中曲,142,8.9
,完美的世界,143,9.0
,玩具总动员3,144,8.7
,纵横四海,145,8.7
,小森林 夏秋篇,146,8.9
,人工智能,147,8.6
,萤火之森,148,8.7
,喜剧之王,149,8.4
,我是山姆,150,8.8
,香水,151,8.4
,冰川时代,152,8.4
,浪潮,153,8.7
,撞车,154,8.6
,哈利·波特与死亡圣器(下),155,8.6
,7号房的礼物,156,8.6
,朗读者,157,8.5
,秒速5厘米,158,8.4
,碧海蓝天,159,8.7
,追随,160,9.0
,花样年华,161,8.4
,罗生门,162,8.7
,梦之安魂曲,163,8.7
,战争之王,164,8.5
,可可西里,165,8.6
,一次别离,166,8.7
,海盗电台,167,8.6
,心迷宫,168,8.6
,唐伯虎点秋香,169,8.3
,超能陆战队,170,8.6
,时空恋旅人,171,8.6
,谍影重重2,172,8.5
,谍影重重,173,8.5
,迁徙的鸟,174,9.1
,地球上的星星,175,8.8
,荒野生存,176,8.6
,蝙蝠侠：黑暗骑士崛起,177,8.5
,阿飞正传,178,8.5
,绿里奇迹,179,8.7
,勇闯夺命岛,180,8.5
,荒蛮故事,181,8.7
,恐怖游轮,182,8.3
,惊魂记,183,8.8
,燕尾蝶,184,8.6
,魔女宅急便,185,8.4
,卡萨布兰卡,186,8.6
,再次出发之纽约遇见你,187,8.5
,达拉斯买家俱乐部,188,8.6
,小森林 冬春篇,189,8.9
,英国病人,190,8.4
,这个男人来自地球,191,8.5
,变脸,192,8.4
,未麻的部屋,193,8.8
,东京物语,194,9.2
,终结者2：审判日,195,8.5
,叫我第一名,196,8.6
,E.T. 外星人,197,8.5
,被解救的姜戈,198,8.5
,爆裂鼓手,199,8.6
,牯岭街少年杀人事件,200,8.7
,末路狂花,201,8.7
,穆赫兰道,202,8.3
,发条橙,203,8.4
,哪吒闹海,204,8.8
,忠犬八公物语,205,9.0
,源代码,206,8.3
,黑客帝国3：矩阵革命,207,8.5
,非常嫌疑犯,208,8.6
,美国丽人,209,8.4
,青蛇,210,8.4
,新龙门客栈,211,8.4
,黄金三镖客,212,9.1
,上帝也疯狂,213,8.6
,爱·回家,214,9.0
,无耻混蛋,215,8.4
,城市之光,216,9.2
,勇士,217,8.9
,初恋这件小事,218,8.2
,曾经,219,8.3
,蓝色大门,220,8.2
,麦兜故事,221,8.5
,蝴蝶,222,8.6
,暖暖内含光,223,8.4
,无敌破坏王,224,8.6
,与狼共舞,225,8.9
,巴黎淘气帮,226,8.6
,大卫·戈尔的一生,227,8.7
,遗愿清单,228,8.5
,国王的演讲,229,8.3
